joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_middle_little,low,5,2985.4,800.1306393333529,4301.0,1121.4185659244276,1138.8,319.3376896014625,31.595643564356436,12.935243776432271,8.384158415841584,3.375485064642611,1.2539358600583093,0.3269441883161597,0.013100125934210375,0.0006912602077068995,0.6906266864291954,0.0422463038267085,2.0,0.0,343.0098104953766,160.9373319263105,50500.0,0.0
lock_middle,rest,5,2985.4,372.3463978609166,4378.2,396.98634737229946,1162.2,142.3100839715865,32.7180198019802,4.675822023655549,8.73980198019802,1.8604651608255454,1.2764431486880468,0.11573945987530596,0.012831991668127369,0.00010984255280255807,0.6833366481515615,0.07269331211255803,2.0,0.0,335.8674443244934,105.06810529762237,50500.0,0.0
lock_ring,default,5,2977.2,762.5298420389854,4232.0,910.3390577142123,1166.4,352.59018704439296,30.087920792079206,10.752180409137129,8.413465346534654,3.7032514109422574,1.2338192419825074,0.2654049730945226,0.013004332145695427,0.0003213545696357198,0.6964465155968085,0.05262295052132259,2.0,0.0,317.11112270355227,58.864594297454424,50500.0,0.0
lock_thumb,low,5,2958.8,431.7899489335063,4559.6,362.1693526514909,1110.2,210.50548686435704,33.409108910891085,5.682135290941453,8.24831683168317,2.5297187730803996,1.32932944606414,0.10558873255145503,0.012850179630088285,0.0001521476118352805,0.6467298751069462,0.05880492090088107,2.0,0.0,336.18446774482726,136.53156353763774,50500.0,0.0
lock_index_ring_little,low,5,2952.0,188.45158529447292,4447.6,204.44911347325524,1132.8,104.36742786904351,33.0039603960396,2.319718266090923,8.425742574257425,1.0475917551425287,1.29667638483965,0.0596061555315613,0.012820414006610192,6.094190387102633e-05,0.6642402745791184,0.040013862485305765,2.0,0.0,338.99913120269775,89.25249310187176,50500.0,0.0
lock_little,max,5,2945.6,284.8765346601927,4475.4,494.06339674175416,1092.6,101.28099525577343,31.622574257425743,5.784810685170977,7.722376237623763,1.3894378840255281,1.3047813411078717,0.14404180663024896,0.012867797513841345,0.00013571835635316446,0.6603109952286663,0.04144617426960277,2.0,0.0,322.0466239452362,94.38128593202471,50500.0,0.0
none,low,5,2940.4,282.0316294318778,4187.6,234.27129572356918,1120.6,115.81640643708474,29.718415841584157,4.318683842827646,7.970297029702971,1.5022075054637496,1.2208746355685132,0.06830066930716301,0.012901645416256676,9.807780797286837e-05,0.7009002500254364,0.03169884030981676,2.0,0.0,336.07496509552004,123.08335316067706,50500.0,0.0
lock_ring,rest,5,2939.0,275.6142231453232,4358.0,324.0882595837128,1128.8,124.25039235350526,30.721188118811874,4.792044742532144,7.952079207920792,1.4237711342492165,1.2705539358600584,0.09448637305647604,0.012935201102792202,0.00011203411326428122,0.6752906737978426,0.04913498170988303,2.0,0.0,331.60540561676027,131.59790672219063,50500.0,0.0
lock_index_middle,max,5,2927.6,408.1399759886307,4355.8,214.52216668680185,1103.8,192.21592025636173,29.433267326732675,3.3000655365960276,7.512475247524753,1.7603269429244348,1.2699125364431487,0.06254290573959238,0.012945849027896241,0.00012146938704344131,0.6700736348881149,0.06878156374592963,2.0,0.0,329.03979234695436,129.4383339880387,50500.0,0.0
lock_middle_little,rest,5,2920.6,806.4303069701683,4103.8,765.2229479047267,1132.4,360.904197814323,29.855049504950493,9.730961556920896,8.38059405940594,3.6580899438170182,1.1964431486880467,0.22309706935997864,0.012977787940115634,0.00023695368835755973,0.7007210571844528,0.09731458356679938,2.0,0.0,330.1902967453003,113.14053083340129,50500.0,0.0
