joint_lock,aa_config,n_runs,qd_score,qd_score_std,total_successful_grasps,total_successful_grasps_std,total_robust_grasps,total_robust_grasps_std,success_rate,success_rate_std,robust_success_rate,robust_success_rate_std,success_archive_coverage,success_archive_coverage_std,diversity_knn,diversity_knn_std,avg_fitness,avg_fitness_std,max_fitness,max_fitness_std,runtime,runtime_std,n_evaluations,n_evaluations_std
lock_index_ring_little,max,1,207.0,0.0,481.0,0.0,21.0,0.0,1.3485148514851486,0.0,0.05742574257425742,0.0,0.1402332361516035,0.0,0.018260749142419874,0.0,0.4303534303534304,0.0,2.0,0.0,287.51071524620056,0.0,50500.0,0.0
lock_index_middle_little,low,1,201.0,0.0,467.0,0.0,42.0,0.0,1.3188118811881189,0.0,0.11683168316831682,0.0,0.13615160349854227,0.0,0.01942355101743929,0.0,0.430406852248394,0.0,2.0,0.0,287.46663546562195,0.0,50500.0,0.0
lock_middle_ring_little,mid,1,190.0,0.0,386.0,0.0,45.0,0.0,1.0554455445544555,0.0,0.12277227722772277,0.0,0.11253644314868805,0.0,0.021022772672640053,0.0,0.49222797927461137,0.0,2.0,0.0,289.3030745983124,0.0,50500.0,0.0
lock_middle_ring_little,default,1,190.0,0.0,453.0,0.0,56.0,0.0,1.2475247524752475,0.0,0.15247524752475247,0.0,0.13206997084548106,0.0,0.020885989665040957,0.0,0.4194260485651214,0.0,2.0,0.0,287.42900800704956,0.0,50500.0,0.0
lock_index_little,max,1,189.0,0.0,385.0,0.0,55.0,0.0,1.0712871287128714,0.0,0.15247524752475247,0.0,0.11224489795918367,0.0,0.01917834111564755,0.0,0.4909090909090909,0.0,2.0,0.0,292.8723249435425,0.0,50500.0,0.0
none,low,1,182.0,0.0,424.0,0.0,38.0,0.0,1.2237623762376237,0.0,0.10891089108910892,0.0,0.12361516034985423,0.0,0.018608684867502202,0.0,0.42924528301886794,0.0,2.0,0.0,261.31545996665955,0.0,50500.0,0.0
lock_ring_little,max,1,182.0,0.0,445.0,0.0,45.0,0.0,1.2356435643564356,0.0,0.12475247524752475,0.0,0.12973760932944609,0.0,0.020517150242338092,0.0,0.40898876404494383,0.0,2.0,0.0,285.61081552505493,0.0,50500.0,0.0
lock_middle,low,1,179.0,0.0,463.0,0.0,21.0,0.0,1.3366336633663367,0.0,0.0594059405940594,0.0,0.13498542274052477,0.0,0.017875452223727904,0.0,0.38660907127429806,0.0,2.0,0.0,289.89201164245605,0.0,50500.0,0.0
lock_middle_little,default,1,178.0,0.0,431.0,0.0,13.0,0.0,1.1544554455445544,0.0,0.03366336633663366,0.0,0.12565597667638484,0.0,0.02032867991045335,0.0,0.41299303944315546,0.0,2.0,0.0,287.25742387771606,0.0,50500.0,0.0
lock_index_ring_little,low,1,175.0,0.0,398.0,0.0,32.0,0.0,1.095049504950495,0.0,0.08712871287128714,0.0,0.11603498542274052,0.0,0.019229880351908056,0.0,0.4396984924623116,0.0,2.0,0.0,289.8696050643921,0.0,50500.0,0.0
